X,Y,Z,D
-49.8669410977316,-25.3663761153932,964.678772373419,-11.8410272598267
-49.8656989013091,-25.366366547351,966.197740699392,-12.3192834854126
-49.8644567055202,-25.3663569688295,968.283437402489,-12.7771100997925
-49.8632145103654,-25.3663473798289,969.236516637351,-13.193076133728
-49.8619723158456,-25.3663377803492,969.982957864303,-13.5645971298218
-49.8607301219613,-25.3663281703903,968.267669781726,-13.9181776046753
-49.8594879287133,-25.3663185499523,967.121545382182,-14.2871837615967
-49.8582457361022,-25.3663089190353,967.526771437917,-14.6760120391846
-49.8570035441288,-25.3662992776392,962.646561660126,-15.0509395599365
-49.8557613527937,-25.3662896257641,962.120405125601,-15.3637561798096
-49.8545191620977,-25.3662799634099,959.456089593646,-15.5717496871948
-49.8532769720415,-25.3662702905768,955.726407691351,-15.6235446929932
-49.8520347826256,-25.3662606072646,949.92503401868,-15.3998308181763
-49.8507925938509,-25.3662509134736,947.810433205033,-14.9551496505737
-49.849550405718,-25.3662412092036,952.890992440068,-14.2918081283569
-49.8483082182276,-25.3662314944546,961.211300015327,-13.460750579834
-49.8470660313804,-25.3662217692268,965.12510665158,-12.7205543518066
-49.8458238451771,-25.3662120335202,970.008884563476,-12.226092338562
-49.8445816596184,-25.3662022873347,974.556260255956,-11.924898147583
-49.843339474705,-25.3661925306703,979.357865378513,-11.587944984436
-49.8420972904376,-25.3661827635272,978.391344836872,-10.8542985916138
-49.8408551068168,-25.3661729859053,976.908074295639,-10.1843519210815
-49.8396129238434,-25.3661631978046,975.137421162077,-9.68744277954102
-49.8383707415181,-25.3661533992251,974.371979379644,-9.22983932495117
-49.8371285598415,-25.366143590167,973.767562209694,-8.60478210449219
-49.8358863788143,-25.3661337706302,961.591552553541,-7.96509790420532
-49.8346441984373,-25.3661239406146,959.358918996434,-7.27199506759644
-49.8334020187111,-25.3661141001205,965.164062838237,-6.41014337539673
-49.8321598396364,-25.3661042491477,968.768865915526,-5.38557052612305
-49.830917661214,-25.3660943876962,975.372581079514,-4.54723072052002
-49.8296754834444,-25.3660845157662,981.401724466458,-4.04105567932129
-49.8284333063285,-25.3660746333576,984.487947327142,-3.71581292152405
-49.8271911298668,-25.3660647404705,987.090381143369,-3.11326503753662
-49.8259489540602,-25.3660548371049,988.541164375585,-2.73346734046936
-49.8247067789092,-25.3660449232607,989.480351506371,-2.71633577346802
-49.8234646044146,-25.3660349989381,988.940071501979,-2.9202082157135
-49.8222224305771,-25.366025064137,993.940952052736,-3.03749513626099
-49.8209802573973,-25.3660151188574,1001.81215078416,-3.17016792297363
-49.8197380848759,-25.3660051630995,1010.65857777546,-3.42765593528748
-49.8184959130138,-25.3659951968631,1015.06368835066,-3.82083225250244
-49.8172537418114,-25.3659852201484,1017.89533689794,-4.10034275054932
-49.8160115712696,-25.3659752329553,1023.27994520235,-4.39070653915405
-49.8147694013891,-25.3659652352839,1023.24149298441,-4.73466920852661
-49.8135272321704,-25.3659552271342,1028.45467787282,-5.1399712562561
-49.8122850636144,-25.3659452085062,1033.21975712783,-5.4246768951416
-49.8110428957216,-25.3659351793999,1037.30846019054,-5.69462728500366
-49.8098007284928,-25.3659251398154,1044.52414280966,-5.97601747512817
-49.8085585619288,-25.3659150897526,1047.12221433694,-6.25535821914673
-49.8073163960301,-25.3659050292117,1047.68038543581,-6.39393615722656
-49.8060742307975,-25.3658949581926,1052.5893682885,-6.46136045455933
-49.8048320662317,-25.3658848766953,1055.92593551801,-6.54572820663452
-49.8035899023334,-25.3658747847199,1060.59180587688,-6.75401878356934
-49.8023477391032,-25.3658646822663,1065.28585711946,-6.92330169677734
-49.8011055765419,-25.3658545693347,1066.61571649757,-7.14059019088745
-49.79986341465,-25.365844445925,1064.7553482959,-7.25158596038818
-49.7986212534285,-25.3658343120373,1063.50630996889,-7.15322160720825
-49.7973790928778,-25.3658241676715,1070.2856600257,-6.80252456665039
-49.7961369329988,-25.3658140128278,1076.26926983066,-6.46042108535767
-49.7948947737921,-25.365803847506,1080.29883698398,-6.25250768661499
-49.7936526152585,-25.3657936717063,1082.62097364751,-6.27951288223267
-49.7924104573985,-25.3657834854287,1082.41822415387,-6.50827789306641
-49.7911683002129,-25.3657732886732,1079.80792383112,-6.85819435119629
-49.7899261437024,-25.3657630814397,1078.23669710807,-6.09213829040527
-49.7886839878677,-25.3657528637284,1080.3771743466,-2.74995064735413
-49.7874418327094,-25.3657426355392,1079.92618065783,3.06833243370056
-49.7861996782284,-25.3657323968723,1081.11851968139,9.33100509643555
-49.7849575244251,-25.3657221477275,1082.88494097021,13.753191947937
-49.7837153713005,-25.3657118881049,1078.21700143849,15.6771831512451
-49.7824732188551,-25.3657016180046,1068.56687300628,15.5181112289429
-49.7812310670896,-25.3656913374265,1077.44918295087,14.3127746582031
-49.7799889160047,-25.3656810463708,1086.70820727919,12.6647710800171
-49.7787467656012,-25.3656707448373,1091.41623809993,10.7672424316406
-49.7775046158797,-25.3656604328262,1097.71850733024,8.97420883178711
-49.776262466841,-25.3656501103374,1101.74017188147,7.49459886550903
-49.7750203184856,-25.365639777371,1102.41533346804,6.3450927734375
-49.7737781708143,-25.365629433927,1105.92365154414,5.3372220993042
-49.7725360238279,-25.3656190800054,1114.51159083457,4.59123373031616
-49.7712938775269,-25.3656087156062,1120.57068492997,3.8673415184021
-49.770051731912,-25.3655983407296,1123.28121327196,3.18709182739258
-49.768809586984,-25.3655879553754,1124.49611773075,2.6456835269928
-49.7675674427437,-25.3655775595437,1125.89525180741,2.64120364189148
-49.7663252991915,-25.3655671532346,1126.52101944333,2.61353015899658
-49.7650831563284,-25.365556736448,1132.88225867955,2.44177889823914
-49.7638410141548,-25.3655463091839,1135.7765424089,2.21028566360474
-49.7625988726716,-25.3655358714426,1137.92280347145,2.32148694992065
-49.7613567318795,-25.3655254232238,1138.07909499763,2.43426179885864
-49.760114591779,-25.3655149645276,1136.55585822944,2.47836637496948
